,obj_id,frame,x,y,z,xvel,yvel,zvel,P00,P01,P02,P11,P12,P22,P33,P44,P55,trigger_time,ntrig,radius,duration,position
0,5015,200050,-0.000865761492559,0.0240565156147374,0.1541949211054721,-0.1029345193981239,-0.149653268495023,-0.0430236436237377,5.7406346931277596e-08,3.0752403977229516e-10,-2.186766298866052e-08,5.73810020532065e-08,1.3693682750332769e-08,1.802280902714445e-07,0.0009310167510002,0.0009353285508494,0.0013991854588806,1690891971.4417377,1,32,300,384
1,5020,212006,0.01916926253735,0.0147831011096711,0.2041607901611599,0.0261394943262289,-0.2176036047199049,-0.0912072497852955,5.253387144529868e-08,6.718273291267842e-11,-2.0605854210015595e-08,5.2474968797912734e-08,1.2558797617924794e-08,1.367136554537204e-07,0.0009008424518364,0.0009059129552115,0.0012661949115034,1690892091.0580182,2,64,500,480
2,6443,583178,-0.0122882430944848,0.020436711505266,0.240751573652708,-0.0122123060435699,-0.226088061921029,-0.1766916337209899,4.5336632418940966e-08,1.2527691877784387e-09,-1.3430818681986473e-08,4.646709693839145e-08,8.277138388719081e-09,1.082415511766573e-07,0.0008589213003671,0.0008692748291725,0.0011671263952142,1690895805.2629082,1,32,500,576
3,6472,648756,0.0004930921349685,0.0223640623250719,0.1643849462424367,-0.1544769761427011,-0.2927703268498408,-0.1103663268244039,5.6270022670750496e-08,3.2025519024672266e-10,-2.1290536537856637e-08,5.6318489443552153e-08,1.3330170871342817e-08,1.710551147792269e-07,0.0009242813219078,0.0009288572897241,0.0013723360714238,1690896461.521774,2,64,500,416
4,7233,1201778,-0.0133643696234557,-0.0195266289046203,0.2496543098133969,0.0988624570136896,0.0225177906106577,-0.0504923034342087,4.52111520679471e-08,4.0495073914732017e-10,-1.4506421010903886e-08,4.8021440090194283e-08,1.0842941558228724e-08,1.0446085956885253e-07,0.0008575556757623,0.0008787511059157,0.0011523561149967,1690901995.4099364,3,64,300,256
5,7233,1205073,-0.020523360378377,-0.0132754678179192,0.2091446041970612,0.0958453952457399,0.1142206932196744,0.0041598714723974,4.9631793810998254e-08,2.2748050942956167e-10,-1.6245492883057228e-08,5.25062285363184e-08,1.3169745573726032e-08,1.3378146406517933e-07,0.0008863602658222,0.0009063977621996,0.0012591586364941,1690902028.373844,4,64,300,128
6,7260,1211963,-0.0047812194310705,0.0160712587613266,0.1680425138306831,0.3071263956240469,0.1319892582021774,0.0166903233480651,5.554371714808642e-08,3.0420644146378397e-10,-2.0433115894356654e-08,5.6226953938339465e-08,1.3695264753811351e-08,1.6795245073245248e-07,0.0009205718022624,0.0009288605811744,0.0013652098245912,1690902097.3077512,5,64,500,384
7,7266,1214023,0.0236281933555418,-0.0054454606100622,0.2404236084771546,-0.3945344301306289,0.2514245925568733,-0.2579288573428652,4.890939660366509e-08,-8.415671153193547e-11,-1.8877755423800415e-08,4.9833189087554875e-08,1.2191455249948521e-08,1.1068714102451904e-07,0.0008794068804582,0.0008923286997932,0.0011782544787854,1690902117.9498591,6,32,500,448
8,7271,1215031,-0.01217771595562,-0.0209330472988788,0.1583045146677552,-0.1769846410471489,0.4160728837860439,-0.1732516730337086,9.236942043069537e-08,-7.197897232056521e-11,-6.956810518071604e-08,7.606697104214287e-08,-3.340335043594529e-09,2.725536867851683e-07,0.0010820485880599,0.001034084146826,0.0016478267344361,1690902128.008017,7,32,300,416
9,7491,1283988,-0.0171833965149986,-0.0169351008542511,0.1589032939539765,0.0495710247334742,0.1190989601909553,-0.1085304928900093,5.666062404074095e-08,-5.151585768452345e-10,-2.085454533154954e-08,5.95869154631254e-08,1.81575667020365e-08,1.7811981358731678e-07,0.0009271211046419,0.0009458198919802,0.0013918920525587,1690902818.069903,8,32,500,96
10,7536,1348353,0.0202487266642867,-0.0135485901150724,0.2474784805459349,-0.160661509476039,0.0130454601581949,0.0121409524796358,4.7990060273915825e-08,-1.0527990720528984e-10,-1.8279892844951222e-08,4.9321944847354554e-08,1.2124528279744983e-08,1.0641786569915794e-07,0.0008732312072853,0.0008867213410846,0.0011581259003096,1690903462.141924,9,64,300,32
11,8693,1643953,0.0020525662318058,-0.0245503305807073,0.2127588130276171,-0.1683074478880512,0.2912900608895724,-0.0059231635670639,5.149330256443224e-08,-5.37712990127259e-10,-1.9748532057562483e-08,5.3778404477376774e-08,1.5081156774034567e-08,1.3228452033512925e-07,0.0008957514903695,0.0009133659581712,0.0012518413291424,1690906420.1257446,10,32,300,448
12,8996,1707149,-0.0213421520052875,-0.0124853372746768,0.157952231367964,0.1019182860579894,0.0356480637049994,-0.02944758374481,5.627609583639248e-08,-2.66707954689395e-10,-1.9949698013394992e-08,5.919923197996326e-08,1.7423482756505846e-08,1.7884237511739661e-07,0.0009255795146738,0.0009441051661341,0.0013951770519559,1690907052.4819894,11,32,500,512
13,9230,1762395,-0.0134497902817858,0.0176854931837306,0.2025833539522981,0.0052448497586029,-0.4649079714884084,0.0470519361807406,5.01911003115237e-08,8.845592715922193e-10,-1.620123016509548e-08,5.130392649270335e-08,1.0679197582322091e-08,1.3732155722966885e-07,0.0008899370325985,0.0008995986230115,0.0012717953234162,1690907605.294036,12,64,300,32
14,9460,1782613,-0.0001033108968913,-0.0226848530723845,0.1717696206923074,-0.3848933210630586,0.34064605751733,-0.3114822759807192,5.673809924400257e-08,-1.0328358378424836e-09,-2.306537335673189e-08,5.90134102004245e-08,1.8585850876244616e-08,1.6627740277917314e-07,0.0009256683968104,0.0009420571600414,0.001354916986029,1690907807.6065886,13,32,300,448
15,9478,1786098,-0.0136852939753576,-0.0204796870238129,0.2445389651229743,0.0643024415107587,0.0419306591761234,-0.0421819028433742,4.5875432408369464e-08,3.1976062269309407e-10,-1.4897331580781422e-08,4.872815586249017e-08,1.1309726581450257e-08,1.0810715977610481e-07,0.0008619217048148,0.0008831609569646,0.0011664418625578,1690907842.4807827,14,64,300,32
16,9728,1800919,0.021949862595271,0.0079979240221905,0.2126775816315411,-0.305981341701903,-0.1238770589341077,-0.156775938346556,5.1951424142956056e-08,-1.0382712172520513e-10,-2.0626767280045707e-08,5.214524239249105e-08,1.2892979771063484e-08,1.3061007064476293e-07,0.0008971159143109,0.0009037643979595,0.0012445736428645,1690907990.7874217,15,64,300,288
17,9768,1810873,-0.0236970463883692,0.0057001899057128,0.1983486408678375,0.2338413246015564,-0.0177218256911231,0.1930421855941136,7.334701876389276e-08,-6.384192542747736e-09,-1.9349290894047524e-08,1.0539471367782859e-07,9.400197723911189e-08,2.7176078111301814e-07,0.0009955584150754,0.0010715034593114,0.0015486830573241,1690908090.426056,16,64,300,512
18,9913,1817272,0.0022773915643589,-0.0117041472881515,0.2498383930636564,0.1122526449690339,0.1387179075268695,-0.0919392970377817,6.411559844652156e-08,-6.381783807802296e-09,-1.784147879135327e-08,8.492799222250404e-08,5.7194324901625385e-08,1.6497330030443585e-07,0.0009600857574312,0.0010579362049837,0.001361761548775,1690908154.4341118,17,32,500,128
19,9965,1818401,-0.0061921342606991,0.0235430756759972,0.1954884068191438,-0.0676212404170453,-0.2945582326814726,-0.023704249153354,5.1490630210404965e-08,8.11528021693075e-10,-1.7478958055241616e-08,5.199932773498148e-08,1.0868919470670581e-08,1.4295136431106286e-07,0.0008972886250598,0.0009039211397451,0.00128917661796,1690908165.7229867,18,32,500,256
20,10121,1841485,0.0197038244218815,-0.0149641985058615,0.1543080384994596,-0.0077085741678695,0.1712013105625247,-0.0034422492381929,6.086240419418183e-08,-1.653798157049218e-09,-2.793433025358101e-08,6.168276296919992e-08,2.0464627787161385e-08,1.836196361620003e-07,0.0009465474303775,0.000956732441824,0.0014049412481881,1690908396.742118,19,32,500,64
21,10391,1864199,0.0153088442037665,-0.0179648096994674,0.2138698060437765,-0.1282211351258312,0.1589074235114,-0.1840790371488996,5.219646529300067e-08,-6.374394690640915e-10,-2.1026869584314328e-08,5.3671900133853685e-08,1.4945666557978814e-08,1.3069110496290226e-07,0.0008982594341437,0.0009120977459657,0.0012439196027831,1690908624.0146213,20,32,300,32
22,10485,1877373,0.0227701330783381,-0.0051012655668185,0.1842880805394836,-0.1656081394598811,0.3287882069431984,-0.1322754691889206,5.6503650370060815e-08,-9.46358119208618e-10,-2.449998088691424e-08,5.695879848876716e-08,1.6634760593673623e-08,1.5513074809481089e-07,0.0009227947263124,0.0009315051727713,0.0013223195287004,1690908755.8699124,21,64,500,352
23,10564,1880273,-0.015051003649938,-0.0142031026288393,0.2495089524117395,-0.0899794310532122,-0.4279308550299286,-0.1232279885519295,4.604055083859676e-08,1.47448510790901e-09,-1.3122714793395876e-08,4.952215770316877e-08,9.574282387147922e-09,1.0865244207337575e-07,0.0008854373613589,0.0009164391828485,0.001185191443323,1690908784.8561769,22,64,300,96
24,10587,1883612,-0.0225777611737024,-0.0076983102236038,0.1876651489637787,-0.1109526373284185,0.52868893567391,-0.300456972113861,5.20902664342746e-08,1.9112163591090388e-10,-1.7262742631027778e-08,5.483023326644329e-08,1.4239370339590452e-08,1.5073027771653185e-07,0.0009011515375241,0.0009199606086616,0.0013113045811638,1690908818.2685206,23,64,500,416
25,10732,1901066,-0.0075841062626644,-0.0235843311131016,0.2363512625779734,0.1314031226659672,0.097138110404894,0.029662590920396,4.752108500448737e-08,3.561877672686004e-11,-1.6409218377900975e-08,5.021634127388671e-08,1.2477413802282497e-08,1.1429089559097265e-07,0.0008719517682464,0.0008922488052429,0.0011897252639967,1690908992.9617405,24,64,500,288
26,10949,1922866,0.0182763687794835,-0.0146238144634448,0.1904616995969045,-0.0760300786678213,0.3177154745091787,-0.0100418869282736,5.558830200200728e-08,-1.0073642609059024e-09,-2.3683787431278552e-08,5.669537044254881e-08,1.6911790053245208e-08,1.5019130718798065e-07,0.0009180454578711,0.0009299099501441,0.001308465021578,1690909211.0713885,25,32,300,384
27,10979,1924991,0.0111191857916297,0.0196455574500566,0.2086839661693619,-0.1366897154855639,-0.289163727714185,-0.2727491358847961,5.111457079844849e-08,4.6117172683947836e-10,-1.8816849693648443e-08,5.1175059611662445e-08,1.1280742794160764e-08,1.322376922109954e-07,0.0008929132243459,0.0008979758358773,0.0012505868798114,1690909232.3698604,26,64,300,96
28,11260,1940911,0.01827873716606,-0.0163731550239271,0.2230696386581601,-0.125829625146757,-0.0095579120477454,0.0398621648284507,5.1168537160523035e-08,-5.117485429311482e-10,-2.0477551709062545e-08,5.248427828901823e-08,1.4159872101803697e-08,1.239219777476029e-07,0.0008925390092959,0.0009056224891857,0.0012225417728426,1690909391.681725,27,64,300,224
29,11441,1947462,-0.0108846806040348,0.020371993845541,0.1956510512534203,0.1602332673695789,-0.142293961918945,-0.1309212502231893,5.1178223976966423e-08,8.35336988082208e-10,-1.6912174681637584e-08,5.2057019666313283e-08,1.0962436625162397e-08,1.4266129262547214e-07,0.000895262383779,0.0009040672388913,0.0012875370829768,1690909457.225881,28,64,300,64
30,11497,1952178,-0.0158197136289879,0.0131831059503583,0.1992583167335113,0.2098376017580977,0.2513865286505711,-0.1206433462075533,5.0545625628158844e-08,7.658644874757174e-10,-1.6307665284502305e-08,5.203378154761286e-08,1.1352074813477585e-08,1.4005469082116626e-07,0.000891839336586,0.0009043018012232,0.0012795383774333,1690909504.4177296,29,32,500,384
31,11713,1960616,0.0162497665289549,0.0187151487313153,0.2026831245035794,0.260348687483817,0.082182014928575,-0.1264633467848223,5.240225039943166e-08,2.2035414602873798e-10,-2.0156151216662753e-08,5.2301167883171135e-08,1.2146565583716065e-08,1.3788958444895986e-07,0.0009002918851404,0.000905289777083,0.001270066915786,1690909588.8187742,30,64,300,32
32,11752,1963513,0.0185007574922783,-0.0086949536756937,0.24068984301017,-0.1316931469750486,0.1355105779003596,-0.0529562220116566,4.8558006262059115e-08,-4.929614472232944e-11,-1.8441582419447052e-08,4.974726453418265e-08,1.2165415386825438e-08,1.1052968999468325e-07,0.000876834727925,0.0008894321657524,0.0011737206729855,1690909617.808155,31,64,300,0
33,11943,1969928,-0.0196588724027459,-0.0139086127538439,0.196692007519407,0.2626939859570039,-0.2058973897222516,-0.1339203381362679,5.1321133791611263e-08,8.048516945605388e-11,-1.7236372751069427e-08,5.4185127027499086e-08,1.4220504538318324e-08,1.439421086164755e-07,0.000895829733965,0.0009152774131697,0.001290409792404,1690909682.0337682,32,64,300,160
34,12182,1976189,-0.0113126289157196,0.0207025794709478,0.2184203107901784,-0.27824873706275,0.125139638186558,-0.0750814555519291,4.821383708041277e-08,1.0279850912466103e-09,-1.521084497920099e-08,4.9199950381505824e-08,9.621312464841796e-09,1.2429288007653485e-07,0.0008779545983639,0.0008875235126735,0.001227125783465,1690909744.6897657,33,32,300,416
35,12596,1991623,0.0207199214250548,0.0135472109890027,0.1985292555589561,-0.0128035899575991,-0.2965207396818378,-0.1515256802787342,5.342904564689928e-08,-6.993024214751082e-11,-2.1397035093141613e-08,5.329840602304306e-08,1.3107597256175612e-08,1.412158011783141e-07,0.0009056852303931,0.000910449232003,0.001280037277919,1690909899.0953116,34,64,300,608
36,12692,1993372,0.0086806237948124,-0.0211663592970168,0.2451984330921474,-0.4584770263450789,0.4472924234607981,-0.3180904366203371,4.770375873137917e-08,-1.2361090636806342e-10,-1.7681974487914546e-08,4.966065574616045e-08,1.2395364968503704e-08,1.0803974875039589e-07,0.0008806197564178,0.0009030472128761,0.001175697954943,1690909916.6299682,35,64,500,64
37,12846,1997037,-0.0241976444757401,-0.0005524073857418,0.2188386610943612,0.2254292502217597,-0.177119390553421,-0.1100318674886088,4.77231687311584e-08,7.414731207924362e-10,-1.4420703055042162e-08,5.020628866006713e-08,1.0976110085127778e-08,1.2501717664513324e-07,0.0008744643280823,0.0008923825145912,0.0012289109188792,1690909953.272092,36,64,300,384
38,13995,2030885,0.0022240655668944,0.0243150408710125,0.1502999434412268,-0.2655447501567298,0.2685333882505786,0.0649021528153363,7.570456875672585e-08,8.153656005770411e-09,2.692701691510952e-09,8.526427685235869e-08,3.547786173244751e-09,2.462496867356734e-07,0.0010277908651419,0.0010686437000844,0.0015459908116442,1690910291.98225,37,32,500,416
39,14370,2049639,-0.0226681290866456,0.0081499664335876,0.2115514864478229,0.2570289276790078,0.3875028499105262,0.1606300863174513,4.8649225002816064e-08,8.515076191880657e-10,-1.4822821489477076e-08,5.070237015652119e-08,1.0845746812688096e-08,1.310842780424174e-07,0.0008813368248568,0.0008971167787995,0.0012529100475702,1690910479.665886,38,32,500,32
40,14435,2051131,-0.0211036291065486,-0.0121987011868718,0.2159634807826074,-0.1618170830407251,0.4471769339943826,-0.0770849156445736,4.873115763031328e-08,3.2139604627185596e-10,-1.5687349934829532e-08,5.1590181950118063e-08,1.2563096304379675e-08,1.2849998064771336e-07,0.0008811050279085,0.0009013524541903,0.0012407926946467,1690910494.5686157,39,32,500,64
41,14899,2060445,-0.0139867073850586,0.0197493563436843,0.2399934136766701,0.1082156536134226,-0.1773184728260104,-0.0781856580850319,4.534547580386398e-08,1.2522824086142815e-09,-1.3346421127086982e-08,4.6571149286076595e-08,8.325911814469592e-09,1.0888934685745141e-07,0.0008592799394649,0.0008702518872948,0.0011707367863535,1690910587.786137,40,64,500,352
42,15378,2072695,-0.0102831687521108,-0.0183038799050083,0.1718187771992802,0.4730157558499996,0.3017248260034271,-0.1228215053567231,5.5539083721243e-08,-5.750177344859976e-10,-2.092230389716216e-08,5.82056928964848e-08,1.7461882560298904e-08,1.6601777543095808e-07,0.0009195709817949,0.0009379937205623,0.0013570334015902,1690910710.3660288,41,64,500,224
43,16137,2092543,-0.0203986230590397,-0.0122454042662329,0.1980237785392993,-0.0162073284582567,0.2595165193689693,-0.0029670839575626,5.1054479999255666e-08,1.2187271905367088e-10,-1.706678219549468e-08,5.3894895029313074e-08,1.4016450935512648e-08,1.4263447523165126e-07,0.0008952126249992,0.0009147459505575,0.0012882504734694,1690910909.0097826,42,64,500,352
44,16590,2108452,0.0207710918979174,-0.011954212985385,0.2234090811649405,-0.2255561222921133,0.5057966550824444,-0.3402114719735306,5.1221651732147677e-08,-4.925822826774646e-10,-2.0616376817315546e-08,5.231191133230642e-08,1.3974922876691316e-08,1.2320732360559804e-07,0.0008921173322552,0.0009044123702783,0.001216705287317,1690911068.1597812,43,32,500,480
45,16784,2116691,-0.0235756965762163,0.0078627094760185,0.2393831931799856,0.1197810332147339,0.2472152108797225,-0.101363019614634,5.7974779109774246e-08,8.191193095054051e-09,1.9670803974562603e-10,6.719994791269666e-08,4.409960622536881e-10,1.3794181093592104e-07,0.0009332011806172,0.0009825996025141,0.0012820134783046,1690911150.6179454,44,64,300,64
46,17075,2124453,-0.0221129123622895,-0.0074685639794457,0.2142089743222581,-0.2124129462548792,0.2554361750474441,-0.1370030314860543,4.8692037560314914e-08,4.5791261599055405e-10,-1.5422042483931847e-08,5.1384915016698185e-08,1.2138167090090593e-08,1.2904085489920268e-07,0.0008808894216213,0.0008999919459285,0.0012423769777383,1690911228.313728,45,32,300,544
47,17793,2146794,0.0188800985485657,0.0127798064101053,0.2269132025407847,-0.3288689642125093,-0.152739323165738,-0.0792889507381428,4.9583817755677195e-08,2.939179696074765e-10,-1.860637131037684e-08,4.981636457048759e-08,1.1285968407595388e-08,1.1920870786307348e-07,0.0008836541743859,0.0008901636809931,0.0012063602556683,1690911451.8381968,46,64,300,480
48,18238,2161249,0.0242345729685926,-0.002818045770235,0.1672161111077244,-0.2146531734188706,-0.3474224536247934,-0.1083455393951072,5.882171478567605e-08,-1.134161419888214e-09,-2.634867442028505e-08,5.8912109960752874e-08,1.7697861380887644e-08,1.6986638223142566e-07,0.0009351755244887,0.0009416350034684,0.0013658726656527,1690911596.5177455,47,32,500,0
49,18536,2180006,-0.0134777456768431,0.0192115575281921,0.2271848795921919,0.2031265076870571,-0.2516914870928827,-0.0354409182239454,4.6969094185019947e-08,1.1342616977491283e-09,-1.4285003529495492e-08,4.813604964381024e-08,9.06868744009903e-09,1.1799743695884197e-07,0.0008696228628796,0.0008801283564878,0.0012048860170062,1690911784.178168,48,64,300,288
50,18865,2186156,-0.0196478230045531,0.0101550897671857,0.2482824391253688,0.2342946352042796,-0.2917155040810488,-0.2473613064105191,4.4153865055201024e-08,1.1888338514705306e-09,-1.2566627398572364e-08,4.6043637246130965e-08,8.377317344419759e-09,1.0338537390047061e-07,0.0008508967630341,0.0008659764922894,0.0011477866491392,1690911845.7170255,49,64,500,320
51,18938,2191896,0.0034227437500839,-0.0232015759290495,0.2401870550369049,-0.1322026137385552,0.3543675438287067,-0.2264799194542017,4.7944511589878135e-08,-1.2231721505766167e-10,-1.7461901479374494e-08,5.0185007050549445e-08,1.2659642023521085e-08,1.1154286296111939e-07,0.0008734997011496,0.0008917204844796,0.0011763214497612,1690911903.182063,50,64,300,160
52,19374,2204865,0.0220090497667552,-0.0072247863611004,0.1912546294805147,-0.1691780229410259,0.319664072786907,-0.1242905278290047,5.569908899447324e-08,-9.297914219804825e-10,-2.3844998828376837e-08,5.6408215487867496e-08,1.6492908804630344e-08,1.4951657279060497e-07,0.0009214518747845,0.0009359154849008,0.0013329452627764,1690912032.94263,51,64,300,384
53,20048,2215009,-0.0047672085169852,-0.0226422008558847,0.1598341685162338,-0.3320663943490523,0.2819934371653151,-0.2098220066488733,5.79626035289401e-08,-1.0662829537717334e-09,-2.3432200301319072e-08,6.046028242175045e-08,1.952637963454633e-08,1.776739008393924e-07,0.000933163834792,0.0009501211006759,0.0013885532395464,1690912134.446141,52,64,500,224
54,20921,2231654,-0.0216732261070541,0.0034434312932451,0.1934044502097409,0.4191095565282101,0.295980664442165,-0.2953165323461743,5.1022873747391355e-08,5.73730765488658e-10,-1.627115419315899e-08,5.323266601141784e-08,1.2490297523297995e-08,1.448792399989248e-07,0.0008941729505505,0.0009105149480971,0.0012933084082795,1690912301.0006473,53,32,500,320
55,21166,2240556,0.0013937321613203,0.0154426822425447,0.2117642224933214,-0.2323103960445773,0.3974893465633549,-0.1665256838308373,5.0291246872179194e-08,5.614219174950531e-10,-1.7706215037140193e-08,5.0977351962228836e-08,1.1229015691397672e-08,1.3037142788843254e-07,0.0008894538436094,0.0008981807762267,0.0012461282230015,1690912390.1137984,54,32,500,256
