,obj_id,frame,x,y,z,xvel,yvel,zvel,P00,P01,P02,P11,P12,P22,P33,P44,P55,ntrig,position_trigger_time,position_trigger_copy_time,stimulus_start_time,looming_pos_x,looming_pos_y,looming_radius,looming_duration,csv_writer_receive_time,csv_writer_write_time
0,33646,1129843,0.0238889888599461,-0.0013587966188976,0.2267553716827416,-0.2160794508063547,0.2624438003137491,-0.1227505812831474,5.0531670636412527e-08,-2.0354021536024388e-10,-1.999251057486328e-08,5.1165515608184106e-08,1.2865637069563796e-08,1.2027732818766657e-07,0.0008885740443106,0.0008981994459591,0.0012087955014113,1,1687788874.2132456,1687788874.21586,1687788874.2308254,57,64,32,300,1687788874.2310631,1687788874.2310815
1,33646,1129843,0.0238889888599461,-0.0013587966188976,0.2267553716827416,-0.2160794508063547,0.2624438003137491,-0.1227505812831474,5.0531670636412527e-08,-2.0354021536024388e-10,-1.999251057486328e-08,5.1165515608184106e-08,1.2865637069563796e-08,1.2027732818766657e-07,0.0008885740443106,0.0008981994459591,0.0012087955014113,1,1687788874.2132456,1687788874.21586,1687788874.520582,51,64,32,500,1687788874.5207214,1687788874.520724
2,35921,1206880,-0.0073045918146993,0.0235821522408832,0.2322184219070066,-0.1246993266232638,-0.0819576803828602,-0.013914951147656,4.6724916222640734e-08,1.1495814577628743e-09,-1.4552372656284529e-08,4.7490992908857646e-08,8.767824438354676e-09,1.1450824742353574e-07,0.0008682317266247,0.0008765606285512,0.0011920727012477,2,1687789645.0845776,1687789645.0879896,1687789645.091071,309,64,32,500,1687789645.0911827,1687789645.091187
3,35921,1206880,-0.0073045918146993,0.0235821522408832,0.2322184219070066,-0.1246993266232638,-0.0819576803828602,-0.013914951147656,4.6724916222640734e-08,1.1495814577628743e-09,-1.4552372656284529e-08,4.7490992908857646e-08,8.767824438354676e-09,1.1450824742353574e-07,0.0008682317266247,0.0008765606285512,0.0011920727012477,2,1687789645.0845776,1687789645.0879896,1687789645.5896995,3,64,32,300,1687789645.589808,1687789645.5898097
4,36053,1227209,0.0065620651323901,0.0216428703638563,0.1331274189490069,0.02901855290268,-0.2652784819375177,-0.0889814562924041,6.103643338377727e-08,-1.8199186670049399e-10,-2.533738493355797e-08,6.05956069313736e-08,1.5873138341281122e-08,2.0184079933821123e-07,0.0009497087630736,0.0009525196984072,0.0014552840032598,3,1687789848.489342,1687789848.4908135,1687789848.4964724,67,64,64,500,1687789848.4965854,1687789848.4965885
5,36053,1227209,0.0065620651323901,0.0216428703638563,0.1331274189490069,0.02901855290268,-0.2652784819375177,-0.0889814562924041,6.103643338377727e-08,-1.8199186670049399e-10,-2.533738493355797e-08,6.05956069313736e-08,1.5873138341281122e-08,2.0184079933821123e-07,0.0009497087630736,0.0009525196984072,0.0014552840032598,3,1687789848.489342,1687789848.4908135,1687789848.994106,52,64,64,300,1687789848.9942062,1687789848.994209
6,36053,1227811,-0.0240722325297928,-0.0036352011360419,0.2003563736904877,0.0933333363533722,0.0089362173660273,-0.0262500910437579,5.0199633331460276e-08,4.812287355979683e-10,-1.5889861737777712e-08,5.280851459558159e-08,1.2671977869438006e-08,1.401106170570997e-07,0.0008902385554992,0.0009083874847029,0.0012801852776024,4,1687789854.5219984,1687789854.524892,1687789854.5328138,101,64,32,300,1687789854.5329676,1687789854.5329704
7,36053,1227811,-0.0240722325297928,-0.0036352011360419,0.2003563736904877,0.0933333363533722,0.0089362173660273,-0.0262500910437579,5.0199633331460276e-08,4.812287355979683e-10,-1.5889861737777712e-08,5.280851459558159e-08,1.2671977869438006e-08,1.401106170570997e-07,0.0008902385554992,0.0009083874847029,0.0012801852776024,4,1687789854.5219984,1687789854.524892,1687789854.8220506,68,64,64,500,1687789854.8222268,1687789854.8222318
8,37861,1315384,0.0156417253431567,0.0173190362890393,0.1422541052862343,-0.1837214827036116,-0.0919473498307284,-0.0134615476371653,7.707656885344066e-08,7.75192446721144e-09,-1.7206909628386563e-09,8.702106989906764e-08,6.6737460607332045e-09,2.571790789848067e-07,0.0010392099850316,0.0010838259883789,0.001582342947485,5,1687790730.838255,1687790730.8407822,1687790730.84732,342,64,32,500,1687790730.847432,1687790730.8474343
9,37861,1315384,0.0156417253431567,0.0173190362890393,0.1422541052862343,-0.1837214827036116,-0.0919473498307284,-0.0134615476371653,7.707656885344066e-08,7.75192446721144e-09,-1.7206909628386563e-09,8.702106989906764e-08,6.6737460607332045e-09,2.571790789848067e-07,0.0010392099850316,0.0010838259883789,0.001582342947485,5,1687790730.838255,1687790730.8407822,1687790731.345863,178,64,32,500,1687790731.345994,1687790731.345996
